key;full1;full2;full3;full4;full5;full6;full7
варламка;варлам;;;;;;
варлаха;варлам;;;;;;
варлаша;варлам;;;;;;
лама;варлам;;;;;;
васильюшка;василий;;;;;;
василька;василий/василиса;;;;;;
василек;василий;;;;;;
вася;василий/василиса;;;;;;
васеня;василий;;;;;;
васюня;василий/василиса;;;;;;
васюра;василий/василиса;;;;;;
сюра;серафима;;;;;;
васюта;василий/василиса;;;;;;
васюха;василий/василиса;;;;;;
васюша;василий/василиса;;;;;;
васяй;василий;;;;;;
васяк;василий;;;;;;
васяка;василий;;;;;;
васяня;василий/василиса;;;;;;
васяна;василий;;;;;;
васята;василий/василиса;;;;;;
васяха;василий;;;;;;
васяша;василий;;;;;;
веня;венцеслав;;;;;;
викторка;виктор/виктория;;;;;;
тора;виктор/виктория;;;;;;
викта;виктор/виктория;;;;;;
виктуся;виктор/виктория;;;;;;
витя;виктор;;;;;;
витек;виктор;;;;;;
витюля;виталий;;;;;;
витюня;виктор;;;;;;
витуня;виктор;;;;;;
витюся;виктор;;;;;;
витуся;виктор/виктория;;;;;;
витюха;виктор;;;;;;
витюша;виктор;;;;;;
витуша;виктор/виктория;;;;;;
витяня;виктор/виктория;;;;;;
витаня;виктор;;;;;;
витяся;виктор;;;;;;
витася;виктор;;;;;;
витяха;виктор;;;;;;
витаха;виктор;;;;;;
витяша;виктор;;;;;;
виташа;виктор;;;;;;
витеша;виктор;;;;;;
витоша;виктор;;;;;;
виша;виктор;;;;;;
вишута;виктор;;;;;;
вика;вероника;виктория;;;;;
висяша;виссарион;;;;;;
виссарионка;виссарион;;;;;;
виссара;виссарион;;;;;;
вися;виссарион;;;;;;
виса;виссарион;;;;;;
виталя;виталий;;;;;;
таля;наталья;;;;;;
витяна;виталий;;;;;;
владимирушка;владимир;;;;;;
владя;владимир;владислав;;;;;
вавуля;владимир;;;;;;
вавуся;владимир;;;;;;
вовочка;владимир;;;;;;
володя;владимир;;;;;;
володюка;владимир;;;;;;
володюня;владимир;;;;;;
володюха;владимир;;;;;;
володюша;владимир;;;;;;
володяка;владимир;;;;;;
володяха;владимир;;;;;;
володяша;владимир;;;;;;
вова;владимир;;;;;;
вовуля;владимир;;;;;;
вовуня;владимир;;;;;;
вовуся;владимир;;;;;;
вовуша;владимир;;;;;;
владиславка;владислав;;;;;;
славуня;владислав;вячеслав;святослав;станислав;святослав;станислав;ярослав
славуся;владислав;вячеслав;святослав;станислав;святослав;станислав;ярослав
влася;влас;;;;;;
всеволодушка;всеволод;;;;;;
всева;всеволод;;;;;;
сева;всеволод;;;;;;
водя;всеволод;;;;;;
лодя;всеволод;;;;;;
всеславушка;всеслав;;;;;;
вячеславка;вячеслав;;;;;;
славуха;вячеслав;;;;;;
вяча;вячеслав;;;;;;
галактионка;галактион;;;;;;
галаня;галактион;;;;;;
галаха;галактион;;;;;;
галаша;галактион;;;;;;
гаша;агафья;;;;;;
галуня;галактион;;;;;;
галюня;галина;;;;;;
галюха;галина;;;;;;
галюша;галина;;;;;;
геннаша;геннадий;;;;;;
генаша;геннадий;;;;;;
гена;геннадий;;;;;;
генуля;геннадий;;;;;;
генюля;геннадий;;;;;;
генуся;геннадий;;;;;;
генюся;геннадий;;;;;;
генуха;геннадий;;;;;;
генюха;геннадий;;;;;;
генуша;геннадий;;;;;;
генюша;геннадий;;;;;;
геша;геннадий;;;;;;
гора;георгий;;;;;;
жора;георгий;;;;;;
геря;георгий;;;;;;
гоша;георгий;;;;;;
гошуля;георгий;;;;;;
гуля;галина;;;;;;
гошуня;георгий;;;;;;
гога;георгий;;;;;;
гаря;георгий;;;;;;
егорка;егор;;;;;;
егоня;егор;;;;;;
егоша;егор;;;;;;
егуня;егор;;;;;;
герма;герман;;;;;;
гермуся;герман;;;;;;
муся;мария;;;;;;
геруня;герман;;;;;;
геруся;герман;;;;;;
геруха;герман;;;;;;
геруша;герман;;;;;;
гема;герман;;;;;;
гемуля;герман;;;;;;
глебка;глеб;;;;;;
градиславка;градислав;;;;;;
градя;градислав;;;;;;
градюша;градислав;;;;;;
григорьюшка;григорий;;;;;;
григоря;григорий;;;;;;
григора;григорий;;;;;;
гриха;григорий;;;;;;
гриша;григорий;;;;;;
гришко;григорий;;;;;;
гришака;григорий;;;;;;
гришука;григорий;;;;;;
гришаня;григорий;;;;;;
гришата;григорий;;;;;;
гришоня;григорий;;;;;;
гришуня;григорий;;;;;;
гришута;григорий;;;;;;
гришуха;григорий;;;;;;
гриня;григорий;;;;;;
гринюка;григорий;;;;;;
гринюха;григорий;;;;;;
гринюша;григорий;;;;;;
грика;григорий;;;;;;
давидка;давид;;;;;;
давидок;давид;;;;;;
додя;давид;;;;;;
дава;давид;;;;;;
видя;давид;;;;;;
давыдка;давид;;;;;;
давыдок;давид;;;;;;
густя;августа;;;;;;
устя;августа;;;;;;
гутя;августа;;;;;;
ага;агафья;;;;;;
агафьюшка;агафья;;;;;;
ганя;галина;;;;;;
ганюся;агафья;;;;;;
гануся;агафья;;;;;;
ганюша;агафья;;;;;;
агаха;агафья;;;;;;
гася;галина;;;;;;
гапа;агафья;;;;;;
аделаидка;аделаида;;;;;;
аделя;аделаида;;;;;;
адель;аделаида;;;;;;
деля;аделаида;;;;;;
адуля;аделаида;;;;;;
адуся;аделаида;;;;;;
адуша;аделаида;;;;;;
адюша;аделаида;;;;;;
адюня;аделаида;;;;;;
аидка;аида;;;;;;
идуся;аида;;;;;;
дуся;евдокия;;;;;;
ая;аида;;;;;;
алевтинка;алевтина;;;;;;
алексана;александра;;;;;;
шурена;александра;;;;;;
лексаня;александра;;;;;;
лексана;александра;;;;;;
лексаша;александра;;;;;;
алинка;алина;;;;;;
алиска;алиса;;;;;;
алюся;алла;;;;;;
альбинка;альбина;;;;;;
бина;альбина;;;;;;
анастасиюшка;анастасия;;;;;;
анастаска;анастасия;;;;;;
настася;анастасия;;;;;;
настя;анастасия;;;;;;
наста;анастасия;;;;;;
наса;анастасия;;;;;;
ната;наталья;;;;;;
ная;анастасия;;;;;;
наюся;анастасия;;;;;;
нюся;анастасия;;;;;;
настена;анастасия;;;;;;
тена;анастасия;;;;;;
настеха;анастасия;;;;;;
настуся;анастасия;;;;;;
настюля;анастасия;;;;;;
настуля;анастасия;;;;;;
настюня;анастасия;;;;;;
настуня;анастасия;;;;;;
настюра;анастасия;;;;;;
стюра;анастасия;;;;;;
настюха;анастасия;;;;;;
настюша;анастасия;;;;;;
настяха;анастасия;;;;;;
стася;анастасия;;;;;;
тася;анастасия;;;;;;
тая;анастасия;;;;;;
асюша;анастасия;;;;;;
асюта;анастасия;;;;;;
ангелинка;ангелина;;;;;;
гелина;ангелина;;;;;;
ангеля;ангелина;;;;;;
геля;ангелина;;;;;;
гела;ангелина;;;;;;
еля;елена;;;;;;
гелюся;ангелина;;;;;;
анжела;анжелика;;;;;;
жела;анжелика;;;;;;
желя;анжелика;;;;;;
желика;анжелика;;;;;;
лика;анжелика;гликерия;;;;;
анисьюшка;анисия;;;;;;
анися;анисия;;;;;;
анночка;анна;;;;;;
аннечка;анна;;;;;;
аннушка;анна;;;;;;
аннуша;анна;;;;;;
аннуся;анна;;;;;;
аннюся;анна;;;;;;
аннюня;анна;;;;;;
нюня;анна;;;;;;
ана;анна;;;;;;
анюра;анна;;;;;;
нюра;анна;;;;;;
нюрася;анна;;;;;;
нюраха;анна;;;;;;
нюраша;анна;;;;;;
анюша;анна;;;;;;
ануша;анна;;;;;;
нюша;анна;;;;;;
анюта;анна;;;;;;
нюта;анна;;;;;;
ануся;анна;;;;;;
анюся;анна;;;;;;
нуся;анна;;;;;;
нюса;анна;;;;;;
аннета;анна;;;;;;
нета;анна;;;;;;
тонюня;антонина;;;;;;
тонюра;антонина;;;;;;
тонюся;антонина;;;;;;
тонюха;антонина;;;;;;
тонюша;антонина;;;;;;
антонидка;антонина;;;;;;
валечка;валентина;;;;;;
валенька;валентина;;;;;;
валена;валентина;;;;;;
валейка;валерия;;;;;;
валеша;валерия;;;;;;
варварка;варвара;;;;;;
варя;варвара;;;;;;
вара;варвара;;;;;;
варюня;варвара;;;;;;
варюся;варвара;;;;;;
варюта;варвара;;;;;;
варюха;варвара;;;;;;
варюша;варвара;;;;;;
ара;варвара;;;;;;
варечка;варвара;;;;;;
василиска;василиса;;;;;;
васа;василиса;;;;;;
сюня;ксения;;;;;;
верка;вера;;;;;;
вераня;вера;;;;;;
вераха;вера;;;;;;
вераша;вера;;;;;;
веруля;вера;;;;;;
веруня;вера;;;;;;
веруся;вера;;;;;;
руся;руслан;;;;;;
веруха;вера;;;;;;
веруша;вера;;;;;;
вероничка;вероника;;;;;;
вероня;вероника;;;;;;
роня;вероника;;;;;;
рона;вероника;;;;;;
ронюша;вероника;;;;;;
никаша;николай;;;;;;
викуша;виктория;;;;;;
витана;виктория;;;;;;
вира;виктория;эльвира;;;;;
торя;виктория;;;;;;
виолета;виолетта;;;;;;
вела;виолетта;;;;;;
летта;виолетта;;;;;;
галинка;галина;;;;;;
галинуха;галина;;;;;;
галинуша;галина;;;;;;
галек;галина;;;;;;
галека;галина;;;;;;
галика;галина;;;;;;
галиха;галина;;;;;;
галиша;галина;;;;;;
галюся;галина;;;;;;
галуха;галина;;;;;;
галуша;галина;;;;;;
гана;галина;;;;;;
линуся;галина;;;;;;
линуша;галина;;;;;;
гликеря;гликерия;;;;;;
гликера;гликерия;;;;;;
керя;гликерия;;;;;;
кера;гликерия;;;;;;
глика;гликерия;;;;;;
ликаша;гликерия;;;;;;
глитя;гликерия;;;;;;
глиха;гликерия;;;;;;
глаша;гликерия;;;;;;
гланя;гликерия;;;;;;
глира;гликерия;;;;;;
глера;гликерия;;;;;;
лукерьюшка;гликерия;;;;;;
лукерька;гликерия;;;;;;
луша;гликерия;;;;;;
лушаня;гликерия;;;;;;
луня;гликерия;;;;;;
дарьюшка;дарья;;;;;;
даря;дарья;;;;;;
дара;дарья;;;;;;
дарюха;дарья;;;;;;
дарюша;дарья;;;;;;
дарена;дарья;;;;;;
дарина;дарья;;;;;;
даруня;дарья;;;;;;
дареха;дарья;;;;;;
дареша;дарья;;;;;;
даша;дарья;;;;;;
дашуля;дарья;;;;;;
дашуня;дарья;;;;;;
дашура;дарья;;;;;;
дашута;дарья;;;;;;
дашуха;дарья;;;;;;
даня;даниил;;;;;;
деборка;дебора;;;;;;
ора;дебора;;;;;;
орка;дебора;;;;;;
дорка;дебора;;;;;;
бора;дебора;;;;;;
борка;дебора;;;;;;
дианка;диана;;;;;;
доронька;дора;;;;;;
дорочка;дора;;;;;;
доруня;дора;;;;;;
доруненька;дора;;;;;;
дорунька;дора;;;;;;
доруся;дора;;;;;;
доря;дора;;;;;;
евка;ева;;;;;;
евушка;ева;;;;;;
евусик;ева;;;;;;
евочка;ева;;;;;;
евика;ева;;;;;;
ив;ева;;;;;;
йев;ева;;;;;;
йевка;ева;;;;;;
хав;ева;;;;;;
чав;ева;;;;;;
чава;ева;;;;;;
эба;ева;;;;;;
эва;ева;;;;;;
эфа;ева;;;;;;
эфи;ева;;;;;;
эвита;ева;;;;;;
евгеньюшка;евгения/евгений;;;;;;
евгеня;евгения/евгений;;;;;;
женя;евгения/евгений;;;;;;
женюра;евгения/евгений;;;;;;
женюша;евгения/евгений;;;;;;
евгеша;евгения/евгений;;;;;;
еня;евгения/евгений;;;;;;
ена;евгения/евгений;;;;;;
енюта;евгения/евгений;;;;;;
енюха;евгения/евгений;;;;;;
енюша;евгения/евгений;;;;;;
еняха;евгения/евгений;;;;;;
еняша;евгения/евгений;;;;;;
евдокиюшка;евдокия;;;;;;
евдя;евдокия;;;;;;
евдоня;евдокия;;;;;;
доня;евдокия;;;;;;
дона;евдокия;;;;;;
доняха;евдокия;;;;;;
доняша;евдокия;;;;;;
евдося;евдокия;;;;;;
дося;евдокия;феодосия;;;;;
евдоха;евдокия;;;;;;
евдоша;евдокия;;;;;;
доша;евдокия;;;;;;
евдуня;евдокия;;;;;;
дуня;евдокия;;;;;;
дуняра;евдокия;;;;;;
дунятка;евдокия;;;;;;
дуняха;евдокия;;;;;;
дуняша;евдокия;;;;;;
евдуша;евдокия;;;;;;
душа;евдокия;;;;;;
авдотьюшка;евдокия;;;;;;
авдотька;евдокия;;;;;;
авдоня;евдокия;;;;;;
авдоха;евдокия;;;;;;
авдоша;евдокия;;;;;;
авдуля;евдокия;;;;;;
авдуся;евдокия;;;;;;
евпракся;евпраксия;;;;;;
парася;евпраксия;прасковья;;;;;
паня;прасковья;;;;;;
прося;евпраксия;прасковья;;;;;
екатеринка;екатерина;;;;;;
катя;екатерина;;;;;;
катюха;екатерина;;;;;;
катюша;екатерина;;;;;;
катюня;екатерина;;;;;;
катуня;екатерина;;;;;;
катюра;екатерина;;;;;;
катюся;екатерина;;;;;;
катюля;екатерина;;;;;;
катяха;екатерина;;;;;;
катяша;екатерина;;;;;;
катена;екатерина;;;;;;
катеринка;екатерина;;;;;;
еленка;елена;;;;;;
лена;елена;;;;;;
ленуша;елена;;;;;;
ленуся;елена;;;;;;
леся;елена;;;;;;
еленя;елена;;;;;;
елюша;елена;;;;;;
елюся;елена;;;;;;
люся;любовь;людмила;;;;;
аленка;елена;;;;;;
елизаветка;елизавета;;;;;;
лиля;елизавета;лидия;;;;;
лиза;елизавета;;;;;;
лизуня;елизавета;;;;;;
лизуха;елизавета;;;;;;
лизуша;елизавета;;;;;;
лизура;елизавета;;;;;;
лизута;елизавета;;;;;;
лизаветка;елизавета;;;;;;
ермина;ермиония;;;;;;
ерма;ермиония;;;;;;
зинаидка;зинаида;;;;;;
зинаха;зинаида;;;;;;
зинаша;зинаида;;;;;;
зинуха;зинаида;;;;;;
зинуша;зинаида;;;;;;
зинуля;зинаида;;;;;;
зинура;зинаида;;;;;;
зинуся;зинаида;;;;;;
зиня;зинаида;;;;;;
зиша;зинаида;;;;;;
зойка;зоя;;;;;;
зоюня;зоя;;;;;;
зоюха;зоя;;;;;;
зоюша;зоя;;;;;;
зоха;зоя;;;;;;
зоша;зоя;;;;;;
зося;зоя;;;;;;
зая;зоя;;;;;;
ингушка;инга;;;;;;
ингуля;инга;;;;;;
ингусик;инга;;;;;;
ингулечка;инга;;;;;;
ингочка;инга;;;;;;
иннушка;инна;;;;;;
иня;инна;;;;;;
инуся;инна;;;;;;
инуля;инна;;;;;;
инюта;инна;;;;;;
инюша;инна;;;;;;
оля;ольга;;;;;;
ираидка;ираида;;;;;;
раида;ираида;;;;;;
ира;ирина;;;;;;
ируня;ирина;;;;;;
ируся;ираида;;;;;;
рая;раиса;;;;;;
иринка;ирина;;;;;;
ириша;ирина;;;;;;
ируша;ирина;;;;;;
ирена;ирина;;;;;;
рена;регина;;;;;;
аринка;ирина;;;;;;
ариша;ирина;;;;;;
арюха;ирина;;;;;;
арюша;ирина;;;;;;
ирмушка;ирма;;;;;;
ирмуся;ирма;;;;;;
каринка;карина;;;;;;
кара;карина;каролина;;;;;
кароль;каролина;;;;;;
кирка;кира;;;;;;
кируся;кирилл/кира;;;;;;
кируша;кира;;;;;;
клавдиюшка;клавдия;;;;;;
клавдя;клавдия;;;;;;
клавдюха;клавдия;;;;;;
клавдюша;клавдия;;;;;;
клавдюня;клавдия;;;;;;
кладя;клавдия;;;;;;
клава;клавдия;;;;;;
клавуня;клавдия;;;;;;
кланя;клавдия;;;;;;
клаха;клавдия;;;;;;
клаша;клавдия;;;;;;
клася;клавдия;;;;;;
кларка;клара;;;;;;
кларуха;клара;;;;;;
кларуша;клара;;;;;;
кларуся;клара;;;;;;
лар;клара;;;;;;
конни;констанция;;;;;;
христинка;кристина;;;;;;
христя;кристина;;;;;;
христюха;кристина;;;;;;
христюша;кристина;;;;;;
христоня;кристина;;;;;;
христена;кристина;;;;;;
христеня;кристина;;;;;;
христоша;христофор/кристина;;;;;;
хрися;кристина;;;;;;
стина;кристина;;;;;;
кристинка;кристина;;;;;;
кристя;кристина;;;;;;
крестя;кристина;;;;;;
ксеня;ксения;;;;;;
ксена;ксения;;;;;;
ксенюша;ксения;;;;;;
ксеша;ксения;;;;;;
ксюня;ксения;;;;;;
ксюра;ксения;;;;;;
аксиньюшка;ксения;;;;;;
акся;ксения;;;;;;
аксюня;ксения;;;;;;
аксюха;ксения;;;;;;
ладонька;лада;;;;;;
ладуся;лада;;;;;;
лариска;лариса;;;;;;
лара;лариса;;;;;;
ларя;лариса;;;;;;
ларуся;лариса;;;;;;
ларуня;лариса;;;;;;
ларуля;лариса;;;;;;
лора;лариса;элеонора;;;;;
лида;лидия;;;;;;
лидя;лидия;;;;;;
лидоня;лидия;;;;;;
линя;лидия;;;;;;
лидуля;лидия;;;;;;
лидуня;лидия;;;;;;
лидуся;лидия;;;;;;
лидуха;лидия;;;;;;
лидуша;лидия;;;;;;
лукийка;лукия;;;;;;
люша;лукия;;;;;;
люба;любовь;;;;;;
любаня;любовь;;;;;;
любаха;любовь;;;;;;
любаша;любовь;;;;;;
любуся;любовь;;;;;;
буся;любовь;;;;;;
любуша;любовь;;;;;;
людмилка;людмила;;;;;;
люда;людмила;;;;;;
людуся;людмила;;;;;;
люсиша;людмила;;;;;;
людаша;людмила;;;;;;
людуха;людмила;;;;;;
людуша;людмила;;;;;;
мила;людмила;;;;;;
миля;людмила;;;;;;
милаша;людмила;;;;;;
милуся;людмила;;;;;;
милуша;людмила;;;;;;
мика;михаил;;;;;;
магдалена;магдалина;;;;;;
магдалинка;магдалина;;;;;;
мага;магдалина;;;;;;
маюня;майя;;;;;;
маюша;майя;;;;;;
маечка;майя;;;;;;
маюха;майя;;;;;;
маргаритка;маргарита;;;;;;
ритуля;маргарита;;;;;;
марго;маргарита;;;;;;
маргоша;маргарита;;;;;;
маринка;марина;;;;;;
маринуша;марина;;;;;;
мариша;мария;;;;;;
маша;мария;;;;;;
марися;марина;;;;;;
маря;марина;;;;;;
маруся;мария;;;;;;
марийка;мария;;;;;;
марюня;мария;;;;;;
маруня;мария;;;;;;
маруля;мария;;;;;;
муля;мария;;;;;;
мася;мария;;;;;;
масята;мария;;;;;;
марюта;мария;;;;;;
марюха;мария;;;;;;
маруха;мария;;;;;;
марюша;мария;;;;;;
маруша;мария;;;;;;
муша;мария;;;;;;
маня;мария;;;;;;
манюня;мария;;;;;;
манюра;мария;;;;;;
манюся;мария;;;;;;
манюта;мария;;;;;;
манюха;мария;;;;;;
манюша;мария;;;;;;
манятка;мария;;;;;;
маняша;мария;;;;;;
машаня;мария;;;;;;
машоня;мария;;;;;;
машука;мария;;;;;;
машуня;мария;;;;;;
муня;мария;;;;;;
машура;мария;;;;;;
мура;мария;;;;;;
машара;мария;;;;;;
машута;мария;;;;;;
мута;мария;;;;;;
машуха;мария;;;;;;
моря;мария;;;;;;
марьюшка;мария;;;;;;
марьяша;мария;;;;;;
марфонька;марфа;;;;;;
марфенька;марфа;;;;;;
марфуня;марфа;;;;;;
марфута;марфа;;;;;;
марфуха;марфа;;;;;;
марфуша;марфа;;;;;;
марфеня;марфа;;;;;;
меланьюшка;мелания;;;;;;
меланя;мелания;;;;;;
мелана;мелания;;;;;;
ланя;мелания;;;;;;
мелаша;мелания;;;;;;
моля;мелания;;;;;;
маланьюшка;мелания;;;;;;
маланя;мелания;;;;;;
малана;мелания;;;;;;
малаха;мелания;;;;;;
малаша;мелания;;;;;;
маля;мелания;;;;;;
милюся;милица;;;;;;
милюша;милица;;;;;;
надеждушка;надежда;;;;;;
надя;надежда;;;;;;
надея;надежда;;;;;;
надена;надежда;;;;;;
надеха;надежда;;;;;;
надюха;надежда;;;;;;
надюша;надежда;;;;;;
надюня;надежда;;;;;;
надюра;надежда;;;;;;
надюся;надежда;;;;;;
надина;надежда;;;;;;
динуся;надежда;;;;;;
надиша;надежда;;;;;;
натальюшка;наталья;;;;;;
наталя;наталья;;;;;;
натала;наталья;;;;;;
натаня;наталья;;;;;;
натаха;наталья;;;;;;
наташа;наталья;;;;;;
таша;наталья;;;;;;
наша;наталья;;;;;;
натуля;наталья;;;;;;
натуня;наталья;;;;;;
натуся;наталья;;;;;;
наля;наталья;;;;;;
нала;наталья;;;;;;
тала;наталья;;;;;;
талюша;наталья;;;;;;
тата;наталья;;;;;;
татуся;наталья;;;;;;
неонилка;неонилла;;;;;;
ненилка;неонилла;;;;;;
нела;неонилла;;;;;;
неля;неонилла;;;;;;
неня;неонилла;;;;;;
никушка;ника;;;;;;
нинелька;нинель;;;;;;
ниля;нинель;;;;;;
ноннушка;нонна;;;;;;
нона;нонна;;;;;;
ноня;нонна;;;;;;
нонуся;нонна;;;;;;
ноннета;нонна;;;;;;
октябринка;октябрина;;;;;;
октя;октябрина;;;;;;
отя;октябрина;;;;;;
ота;октябрина;;;;;;
ока;октябрина;;;;;;
брина;октябрина;;;;;;
ольгуня;ольга;;;;;;
ольгуся;ольга;;;;;;
ольгуха;ольга;;;;;;
ольгуша;ольга;;;;;;
олюля;ольга;;;;;;
олюня;ольга;;;;;;
олюся;ольга;;;;;;
олюха;ольга;;;;;;
олюша;ольга;;;;;;
оляша;ольга;;;;;;
оляня;ольга;;;;;;
пина;пинна;;;;;;
пиня;пинна;;;;;;
полинка;полина;;;;;;
поля;полина;;;;;;
полюня;полина;;;;;;
полюся;полина;;;;;;
пуся;полина;;;;;;
полюха;полина;;;;;;
полюша;полина;;;;;;
поляха;полина;;;;;;
поляша;полина;;;;;;
пана;прасковья;;;;;;
пануля;полина;;;;;;
панюля;полина;;;;;;
паша;павел/прасковья;;;;;;
прасковьюшка;прасковья;;;;;;
праскуня;прасковья;;;;;;
куня;прасковья;;;;;;
праскута;прасковья;;;;;;
проса;прасковья;;;;;;
проня;прохор/прасковья;;;;;;
парасковьюшка;прасковья;;;;;;
параня;прасковья;;;;;;
панюша;прасковья;;;;;;
параса;прасковья;;;;;;
параха;прасковья;;;;;;
параша;прасковья;;;;;;
пара;прасковья;;;;;;
паруня;прасковья;;;;;;
пуня;прасковья;;;;;;
паруха;прасковья;;;;;;
паруша;прасковья;;;;;;
пора;прасковья;;;;;;
радка;рада;;;;;;
радуся;рада;;;;;;
раиска;раиса;;;;;;
раюся;раиса;;;;;;
раюша;раиса;;;;;;
раша;раиса;;;;;;
иса;раиса;;;;;;
раечка;раиса;;;;;;
раюля;раиса;;;;;;
райка;раиса;;;;;;
раисочка;раиса;;;;;;
раисонька;раиса;;;;;;
раисушка;раиса;;;;;;
раюшка;раиса;;;;;;
раюня;раиса;;;;;;
данилка;даниил;;;;;;
даниша;даниил;;;;;;
дана;даниил;;;;;;
дануся;даниил;;;;;;
демидка;демид;;;;;;
дема;демид;;;;;;
демьянка;демьян;;;;;;
демьяша;демьян;;;;;;
дениска;денис;;;;;;
деня;денис;;;;;;
дена;денис;;;;;;
денуся;денис;;;;;;
деша;денис;;;;;;
димаха;дмитрий;;;;;;
