key;gender;frequency;probability;yoform;full_form
афанасия;Ж;312;3.871536511958289e-06;;[]
афимия;Ж;6;7.44526252299671e-08;;[]
афимья;Ж;1;1.2408770871661183e-08;;[]
афросинья;Ж;35;4.343069805081414e-07;;[]
аэлита;Ж;9000;0.00011167893784495065;;[]
беатриса;Ж;1000;1.2408770871661182e-05;;[]
белла;Ж;27000;0.00033503681353485193;;[]
бенедикта;Ж;124;1.5386875880859866e-06;;[]
берта;Ж;3000;3.722631261498355e-05;;[]
бландина;Ж;40;4.963508348664473e-07;;[]
богдана;Ж;22000;0.00027299295917654603;;[]
божена;Ж;4000;4.963508348664473e-05;;[]
болеслава;Ж;110;1.36496479588273e-06;;[]
борислава;Ж;1000;1.2408770871661182e-05;;[]
бояна;Ж;251;3.114601488786957e-06;;[]
бронислава;Ж;3000;3.722631261498355e-05;;[]
валенсия;Ж;408000;0.005062778515637763;;[]
валентина;Ж;1000000;0.012408770871661184;;[]
валерия;Ж;544000;0.006750371354183684;;[]
ванда;Ж;5000;6.204385435830592e-05;;[]
варвара;Ж;70000;0.0008686139610162828;;[]
василида;Ж;20;2.4817541743322367e-07;;[]
василина;Ж;26000;0.00032262804266319073;;[]
василиса;Ж;75000;0.0009306578153745887;;[]
василия;Ж;2000;2.4817541743322365e-05;;[]
васса;Ж;2000;2.4817541743322365e-05;;[]
вацлава;Ж;137;1.700001609417582e-06;;[]
вельмира;Ж;32;3.9708066789315785e-07;;[]
венедикта;Ж;23;2.854017300482072e-07;;[]
венера;Ж;79000;0.0009802928988612335;;[]
венцеслава;Ж;47;5.832122309680756e-07;;[]
вера;Ж;653000;0.008102927379194753;;[]
вероника;Ж;406000;0.00503796097389444;;[]
верония;Ж;80;9.927016697328947e-07;;[]
веста;Ж;8000;9.927016697328946e-05;;[]
видана;Ж;260;3.2262804266319076e-06;;[]
викентия;Ж;86;1.0671542949628617e-06;;[]
викторина;Ж;2000;2.4817541743322365e-05;;[]
виктория;Ж;5000000;0.062043854358305915;;[]
вилена;Ж;6000;7.44526252299671e-05;;[]
виленина;Ж;33;4.0948943876481905e-07;;[]
виола;Ж;12000;0.0001489052504599342;;[]
виолетта;Ж;104000;0.001290512170652763;;[]
виргиния;Ж;2000;2.4817541743322365e-05;;[]
виринея;Ж;623;7.730664253044917e-06;;[]
вита;Ж;59000;0.0007321174814280098;;[]
виталина;Ж;24000;0.0002978105009198684;;[]
виталия;Ж;14000;0.00017372279220325657;;[]
витольда;Ж;84;1.0423367532195393e-06;;[]
влада;Ж;101000;0.0012532858580377795;;[]
владилена;Ж;2000;2.4817541743322365e-05;;[]
владимира;Ж;7000;8.686139610162828e-05;;[]
владислава;Ж;34000;0.00042189820963648024;;[]
владлена;Ж;13000;0.00016131402133159537;;[]
воля;Ж;15000;0.00018613156307491774;;[]
всемила;Ж;32;3.9708066789315785e-07;;[]
гала;Ж;7000;8.686139610162828e-05;;[]
галатея;Ж;756;9.381030778975855e-06;;[]
галина;Ж;2000000;0.024817541743322367;;[]
галя;Ж;122000;0.0015138700463426644;;[]
гая;Ж;6000;7.44526252299671e-05;;[]
гаяна;Ж;4000;4.963508348664473e-05;;[]
гелиана;Ж;72;8.934315027596052e-07;;[]
гелия;Ж;1000;1.2408770871661182e-05;;[]
геннадия;Ж;604;7.494897606483354e-06;;[]
геновефа;Ж;24;2.978105009198684e-07;;[]
генриетта;Ж;3000;3.722631261498355e-05;;[]
георгина;Ж;563;6.986138000745246e-06;;[]
германа;Ж;3000;3.722631261498355e-05;;[]
герта;Ж;302;3.747448803241677e-06;;[]
гертруда;Ж;1000;1.2408770871661182e-05;;[]
гея;Ж;116;1.4394174211126972e-06;;[]
глафира;Ж;5000;6.204385435830592e-05;;[]
гликерия;Ж;485;6.018253872755674e-06;;[]
глория;Ж;9000;0.00011167893784495065;;[]
горгония;Ж;20;2.4817541743322367e-07;;[]
горислава;Ж;864;1.0721178033115263e-05;;[]
гортензия;Ж;157;1.9481770268508058e-06;;[]
градислава;Ж;78;9.678841279895723e-07;;[]
григория;Ж;1000;1.2408770871661182e-05;;[]
даная;Ж;778;9.6540237381524e-06;;[]
даниила;Ж;778;9.6540237381524e-06;;[]
дария;Ж;24000;0.0002978105009198684;;[]
дарья;Ж;775000;0.009616797425537416;;[]
дасия;Ж;13;1.6131402133159538e-07;;[]
дебора;Ж;368;4.5664276807713155e-06;;[]
девора;Ж;108;1.3401472541394078e-06;;[]
декабрина;Ж;259;3.2138716557602464e-06;;[]
денисия;Ж;2;2.4817541743322366e-08;;[]
дея;Ж;62;7.693437940429933e-07;;[]
диана;Ж;53000;0.0006576648561980427;;[]
дигна;Ж;1;1.2408770871661183e-08;;[]
дина;Ж;13300;0.00016503665259309374;;[]
дионисия;Ж;11;1.36496479588273e-07;;[]
дия;Ж;82;1.017519211476217e-06;;[]
добромила;Ж;3;3.722631261498355e-08;;[]
доброслава;Ж;8;9.927016697328946e-08;;[]
домна;Ж;500;6.204385435830591e-06;;[]
домника;Ж;39;4.839420639947861e-07;;[]
домникия;Ж;31;3.8467189702149665e-07;;[]
донара;Ж;68;8.437964192729604e-07;;[]
дора;Ж;700;8.686139610162828e-06;;[]
дорофея;Ж;15;1.8613156307491775e-07;;[]
дросида;Ж;1;1.2408770871661183e-08;;[]
ева;Ж;10600;0.00013153297123960853;;[]
евангелина;Ж;300;3.7226312614983547e-06;;[]
еванфия;Ж;2;2.4817541743322366e-08;;[]
евгения;Ж;98400;0.0012210230537714605;;[]
евдения;Ж;1;1.2408770871661183e-08;;[]
евдокия;Ж;2000;2.4817541743322365e-05;;[]
евдоксия;Ж;6;7.44526252299671e-08;;[]
евлалия;Ж;21;2.605841883048848e-07;;[]
евлампия;Ж;200;2.4817541743322365e-06;;[]
евника;Ж;7;8.686139610162828e-08;;[]
евпраксия;Ж;18;2.233578756899013e-07;;[]
евстафия;Ж;1;1.2408770871661183e-08;;[]
евстолия;Ж;20;2.4817541743322367e-07;;[]
евтропия;Ж;1;1.2408770871661183e-08;;[]
евфалия;Ж;7;8.686139610162828e-08;;[]
евфимия;Ж;10;1.2408770871661184e-07;;[]
евфросиния;Ж;27;3.3503681353485196e-07;;[]
екатерина;Ж;200000;0.0024817541743322367;;[]
елена;Ж;500000;0.006204385435830592;;[]
елизавета;Ж;32100;0.000398321544980324;;[]
еликонида;Ж;5;6.204385435830592e-08;;[]
елисавета;Ж;85;1.0547455240912005e-06;;[]
емельяна;Ж;8;9.927016697328946e-08;;[]
емилия;Ж;200;2.4817541743322365e-06;;[]
епистимия;Ж;1;1.2408770871661183e-08;;[]
ефимия;Ж;37;4.5912452225146374e-07;;[]
ефимья;Ж;1;1.2408770871661183e-08;;[]
ефросиния;Ж;100;1.2408770871661182e-06;;[]
ефросинья;Ж;300;3.7226312614983547e-06;;[]
жанна;Ж;30700;0.0003809492657599983;;[]
зара;Ж;1100;1.36496479588273e-05;;[]
зарема;Ж;2400;2.9781050091986838e-05;;[]
захария;Ж;100;1.2408770871661182e-06;;[]
земфира;Ж;1500;1.8613156307491774e-05;;[]
зенона;Ж;2;2.4817541743322366e-08;;[]
зина;Ж;2900;3.598543552781743e-05;;[]
зинаида;Ж;9900;0.00012284683162944572;;[]
зиновия;Ж;29;3.598543552781743e-07;;[]
злата;Ж;3500;4.343069805081414e-05;;[]
зорина;Ж;3300;4.0948943876481906e-05;;[]
зосима;М;95;1.1788332328078125e-06;;[]
зоя;Ж;15100;0.00018737244016208386;;[]
ива;Ж;1100;1.36496479588273e-05;;[]
иванна;Ж;1700;2.109491048182401e-05;;[]
ида;Ж;9800;0.0001216059545422796;;[]
идея;Ж;400;4.963508348664473e-06;;[]
изабелла;Ж;1500;1.8613156307491774e-05;;[]
изида;Ж;53;6.576648561980427e-07;;[]
изольда;Ж;600;7.4452625229967095e-06;;[]
илария;Ж;80;9.927016697328947e-07;;[]
ильина;Ж;11500;0.00014270086502410362;;[]
инга;Ж;8400;0.00010423367532195393;;[]
инесса;Ж;5300;6.576648561980426e-05;;[]
инна;Ж;59000;0.0007321174814280098;;[]
иоанна;Ж;500;6.204385435830591e-06;;[]
иоланта;Ж;200;2.4817541743322365e-06;;[]
ираида;Ж;1700;2.109491048182401e-05;;[]
ирина;Ж;400000;0.004963508348664473;;[]
ирма;Ж;900;1.1167893784495064e-05;;[]
исаия;Ж;3;3.722631261498355e-08;;[]
исидора;Ж;23;2.854017300482072e-07;;[]
искра;Ж;1900;2.3576664656156247e-05;;[]
иулиания;Ж;27;3.3503681353485196e-07;;[]
иустина;Ж;8;9.927016697328946e-08;;[]
казимира;Ж;800;9.927016697328946e-06;;[]
калерия;Ж;500;6.204385435830591e-06;;[]
калина;Ж;1500;1.8613156307491774e-05;;[]
калиса;Ж;22;2.72992959176546e-07;;[]
каллиста;Ж;9;1.1167893784495065e-07;;[]
камилла;Ж;4000;4.963508348664473e-05;;[]
капитолина;Ж;300;3.7226312614983547e-06;;[]
карина;Ж;40800;0.0005062778515637763;;[]
каролина;Ж;300000;0.0037226312614983548;;[]
касиния;Ж;3;3.722631261498355e-08;;[]
катерина;Ж;34500;0.0004281025950723108;;[]
кикилия;Ж;1;1.2408770871661183e-08;;[]
ким;М;19400;0.00024073015491022696;;[]
кима;Ж;100;1.2408770871661182e-06;;[]
кира;Ж;14300;0.0001774454234647549;;[]
кириена;Ж;8;9.927016697328946e-08;;[]
клавдея;Ж;1;1.2408770871661183e-08;;[]
клавдия;Ж;3500;4.343069805081414e-05;;[]
клара;Ж;6000;7.44526252299671e-05;;[]
клариса;Ж;56;6.948911688130262e-07;;[]
клементина;Ж;200;2.4817541743322365e-06;;[]
клеопатра;Ж;500;6.204385435830591e-06;;[]
конкордия;Ж;800;9.927016697328946e-06;;[]
констанция;Ж;200;2.4817541743322365e-06;;[]
корнелия;Ж;200;2.4817541743322365e-06;;[]
крискентия;Ж;4;4.963508348664473e-08;;[]
кристина;Ж;96300;0.001194964634940972;;[]
ксения;Ж;75300;0.0009343804466360871;;[]
ксенья;Ж;500;6.204385435830591e-06;;[]
кулина;Ж;200;2.4817541743322365e-06;;[]
купава;Ж;93;1.15401569106449e-06;;[]
лавра;Ж;43;5.335771474814308e-07;;[]
лада;Ж;4600;5.708034600964144e-05;;[]
лариса;Ж;83600;0.001037373244870875;;[]
ларисса;Ж;400;4.963508348664473e-06;;[]
лаура;Ж;4100;5.087596057381085e-05;;[]
леда;Ж;90;1.1167893784495065e-06;;[]
лемира;Ж;4;4.963508348664473e-08;;[]
ленина;Ж;49900;0.000619197666495893;;[]
леокадия;Ж;200;2.4817541743322365e-06;;[]
леонида;Ж;100;1.2408770871661182e-06;;[]
леонилла;Ж;18;2.233578756899013e-07;;[]
леония;Ж;3;3.722631261498355e-08;;[]
леонтина;Ж;28;3.474455844065131e-07;;[]
леонтия;Ж;6;7.44526252299671e-08;;[]
лея;Ж;200;2.4817541743322365e-06;;[]
лиана;Ж;7300;9.058402736312663e-05;;[]
ливия;Ж;6100;7.569350231713321e-05;;[]
лидия;Ж;29600;0.00036729961780117103;;[]
лизавета;Ж;700;8.686139610162828e-06;;[]
лилиана;Ж;1500;1.8613156307491774e-05;;[]
лилия;Ж;41300;0.0005124822369996069;;[]
лина;Ж;7900;9.802928988612334e-05;;[]
лира;Ж;1000;1.2408770871661182e-05;;[]
лия;Ж;4000;4.963508348664473e-05;;[]
лолия;Ж;4;4.963508348664473e-08;;[]
лолла;Ж;57;7.072999396846874e-07;;[]
луиза;Ж;4900;6.08029772711398e-05;;[]
лукерья;Ж;200;2.4817541743322365e-06;;[]
лукия;Ж;13;1.6131402133159538e-07;;[]
лукреция;Ж;28;3.474455844065131e-07;;[]
любава;Ж;700;8.686139610162828e-06;;[]
любовь;Ж;88100;0.0010932127137933503;;[]
любомила;Ж;100;1.2408770871661182e-06;;[]
любомира;Ж;200;2.4817541743322365e-06;;[]
людмила;Ж;200000;0.0024817541743322367;;[]
люция;Ж;1500;1.8613156307491774e-05;;[]
мавра;Ж;27;3.3503681353485196e-07;;[]
магда;Ж;300;3.7226312614983547e-06;;[]
магдалина;Ж;300;3.7226312614983547e-06;;[]
маина;Ж;100;1.2408770871661182e-06;;[]
майя;Ж;8700;0.00010795630658345229;;[]
малания;Ж;43;5.335771474814308e-07;;[]
маланья;Ж;15;1.8613156307491775e-07;;[]
малина;Ж;2100;2.6058418830488483e-05;;[]
мальвина;Ж;1100;1.36496479588273e-05;;[]
манефа;Ж;13;1.6131402133159538e-07;;[]
маргарита;Ж;37400;0.00046408803060012826;;[]
мариам;Ж;800;9.927016697328946e-06;;[]
мариамна;Ж;8;9.927016697328946e-08;;[]
мариана;Ж;800;9.927016697328946e-06;;[]
марианна;Ж;6700;8.313876484012993e-05;;[]
маримьяна;Ж;4;4.963508348664473e-08;;[]
марин;М;800;9.927016697328946e-06;;[]
марина;Ж;200000;0.0024817541743322367;;[]
марионелла;Ж;22;2.72992959176546e-07;;[]
марионилла;Ж;2;2.4817541743322366e-08;;[]
мария;Ж;200000;0.0024817541743322367;;[]
марлена;Ж;42;5.211683766097696e-07;;[]
марта;Ж;10300;0.00012781033997811018;;[]
мартина;Ж;600;7.4452625229967095e-06;;[]
мартиниана;Ж;1;1.2408770871661183e-08;;[]
марфа;Ж;800;9.927016697328946e-06;;[]
марья;Ж;1000;1.2408770871661182e-05;;[]
марьям;Ж;2100;2.6058418830488483e-05;;[]
марьян;Ж;300;3.7226312614983547e-06;;[]
марьяна;Ж;4200;5.2116837660976966e-05;;[]
мастридия;Ж;19;2.3576664656156247e-07;;[]
матильда;Ж;300;3.7226312614983547e-06;;[]
матрена;Ж;300;3.7226312614983547e-06;матрёна;[]
матрона;Ж;30;3.722631261498355e-07;;[]
мая;Ж;4100;5.087596057381085e-05;;[]
мелания;Ж;200;2.4817541743322365e-06;;[]
меланья;Ж;200;2.4817541743322365e-06;;[]
мелитина;Ж;10;1.2408770871661184e-07;;[]
милана;Ж;9200;0.00011416069201928288;;[]
милена;Ж;6500;8.065701066579768e-05;;[]
милица;Ж;200;2.4817541743322365e-06;;[]
милия;Ж;37;4.5912452225146374e-07;;[]
милослава;Ж;100;1.2408770871661182e-06;;[]
мина;М;1400;1.7372279220325655e-05;;[]
минодора;Ж;5;6.204385435830592e-08;;[]
мира;Ж;9200;0.00011416069201928288;;[]
звезда;Ж;2800;3.474455844065131e-05;;[]
миропия;Ж;25;3.1021927179152956e-07;;[]
мирослава;Ж;5200;6.452560853263815e-05;;[]
мирра;Ж;300;3.7226312614983547e-06;;[]
михайла;Ж;100;1.2408770871661182e-06;;[]
михайлина;Ж;500;6.204385435830591e-06;;[]
моника;Ж;5700;7.072999396846874e-05;;[]
муза;Ж;600;7.4452625229967095e-06;;[]
надежда;Ж;100000;0.0012408770871661183;;[]
нана;Ж;1100;1.36496479588273e-05;;[]
настасия;Ж;200;2.4817541743322365e-06;;[]
настасья;Ж;2900;3.598543552781743e-05;;[]
наталия;Ж;74400;0.0009232125528515921;;[]
наталья;Ж;300000;0.0037226312614983548;;[]
нелли;Ж;7000;8.686139610162828e-05;;[]
ненила;Ж;3;3.722631261498355e-08;;[]
неолина;Ж;6;7.44526252299671e-08;;[]
неонила;Ж;400;4.963508348664473e-06;;[]
неонилла;Ж;56;6.948911688130262e-07;;[]
ника;Ж;15300;0.0001898541943364161;;[]
нила;Ж;400;4.963508348664473e-06;;[]
нина;Ж;64800;0.0008040883524836446;;[]
нинель;Ж;1200;1.4890525045993419e-05;;[]
новелла;Ж;44;5.45985918353092e-07;;[]
нонна;Ж;1600;1.9854033394657892e-05;;[]
ноябрина;Ж;16;1.9854033394657893e-07;;[]
нунехия;Ж;1;1.2408770871661183e-08;;[]
оксана;Ж;200000;0.0024817541743322367;;[]
октавия;Ж;61;7.569350231713321e-07;;[]
октябрина;Ж;400;4.963508348664473e-06;;[]
олда;Ж;2000;2.4817541743322365e-05;;[]
олимпиада;Ж;300;3.7226312614983547e-06;;[]
олимпия;Ж;1700;2.109491048182401e-05;;[]
ольга;Ж;400000;0.004963508348664473;;[]
павла;Ж;600;7.4452625229967095e-06;;[]
павлина;Ж;400;4.963508348664473e-06;;[]
паисия;Ж;93;1.15401569106449e-06;;[]
палагея;Ж;2;2.4817541743322366e-08;;[]
пальмира;Ж;1200;1.4890525045993419e-05;;[]
папа;Ж;2100;2.6058418830488483e-05;;[]
параскева;Ж;45;5.583946892247532e-07;;[]
парасковея;Ж;3;3.722631261498355e-08;;[]
парасковья;Ж;36;4.467157513798026e-07;;[]
пелагея;Ж;900;1.1167893784495064e-05;;[]
пелагия;Ж;46;5.708034600964144e-07;;[]
петра;Ж;21900;0.0002717520820893799;;[]
петрония;Ж;1;1.2408770871661183e-08;;[]
пиама;Ж;2;2.4817541743322366e-08;;[]
пистимея;Ж;1;1.2408770871661183e-08;;[]
платонида;Ж;4;4.963508348664473e-08;;[]
победа;Ж;1600;1.9854033394657892e-05;;[]
поликсена;Ж;91;1.1291981493211677e-06;;[]
поликсения;Ж;6;7.44526252299671e-08;;[]
полина;Ж;44100;0.0005472267954402582;;[]
полинария;Ж;17;2.109491048182401e-07;;[]
прасковея;Ж;500;6.204385435830591e-06;;[]
прасковья;Ж;700;8.686139610162828e-06;;[]
пульхерия;Ж;100;1.2408770871661182e-06;;[]
рада;Ж;27000;0.00033503681353485193;;[]
радислава;Ж;199;2.4693454034605753e-06;;[]
радмила;Ж;9000;0.00011167893784495065;;[]
радомира;Ж;147;1.824089318134194e-06;;[]
раиса;Ж;147000;0.0018240893181341938;;[]
раисья;Ж;36;4.467157513798026e-07;;[]
рафаила;Ж;30;3.722631261498355e-07;;[]
рахиль;Ж;435;5.3978153291726145e-06;;[]
рева;Ж;13000;0.00016131402133159537;;[]
ревекка;Ж;493;6.117524039728963e-06;;[]
ревмира;Ж;128;1.5883226715726314e-06;;[]
регина;Ж;124000;0.0015386875880859868;;[]
рената;Ж;30000;0.0003722631261498355;;[]
римма;Ж;93000;0.00115401569106449;;[]
рипсимия;Ж;16;1.9854033394657893e-07;;[]
рита;Ж;114000;0.001414599879369375;;[]
рогнеда;Ж;1000;1.2408770871661182e-05;;[]
роза;Ж;156000;0.0019357682559791446;;[]
розалия;Ж;18000;0.0002233578756899013;;[]
роксана;Ж;12000;0.0001489052504599342;;[]
романа;Ж;9000;0.00011167893784495065;;[]
ростислава;Ж;2000;2.4817541743322365e-05;;[]
руслана;Ж;53000;0.0006576648561980427;;[]
руфима;Ж;41;5.087596057381085e-07;;[]
руфина;Ж;16000;0.00019854033394657892;;[]
руфь;Ж;340;4.218982096364802e-06;;[]
сабина;Ж;67000;0.0008313876484012993;;[]
саломея;Ж;1000;1.2408770871661182e-05;;[]
саломия;Ж;58;7.197087105563486e-07;;[]
сальвия;Ж;141;1.7496366929042268e-06;;[]
сатира;Ж;237;2.9408786965837005e-06;;[]
светислава;Ж;68;8.437964192729604e-07;;[]
светлана;Ж;3000000;0.03722631261498355;;[]
светозара;Ж;163;2.022629652080773e-06;;[]
свобода;Ж;14000;0.00017372279220325657;;[]
святослава;Ж;5000;6.204385435830592e-05;;[]
севастьяна;Ж;64;7.941613357863157e-07;;[]
секлетинья;Ж;10;1.2408770871661184e-07;;[]
серафима;Ж;12000;0.0001489052504599342;;[]
сильва;Ж;4000;4.963508348664473e-05;;[]
сильвана;Ж;184;2.2832138403856577e-06;;[]
сильвия;Ж;5000;6.204385435830592e-05;;[]
соломея;Ж;139;1.7248191511609044e-06;;[]
соломонида;Ж;20;2.4817541743322367e-07;;[]
соломония;Ж;125;1.5510963589576478e-06;;[]
софия;Ж;239000;0.002965696238327023;;[]
софья;Ж;137000;0.001700001609417582;;[]
станислава;Ж;11000;0.00013649647958827301;;[]
стелла;Ж;23000;0.00028540173004820723;;[]
степанида;Ж;2000;2.4817541743322365e-05;;[]
стефана;Ж;180;2.233578756899013e-06;;[]
стефанида;Ж;308;3.821901428471644e-06;;[]
стефания;Ж;7000;8.686139610162828e-05;;[]
сусанна;Ж;18000;0.0002233578756899013;;[]
таиса;Ж;6000;7.44526252299671e-05;;[]
таисия;Ж;54000;0.0006700736270697039;;[]
таисья;Ж;2000;2.4817541743322365e-05;;[]
тамара;Ж;383000;0.004752559243846233;;[]
тамила;Ж;19000;0.00023576664656156247;;[]
тарасия;Ж;9;1.1167893784495065e-07;;[]
татьяна;Ж;4000000;0.049635083486644735;;[]
слава;Ж;273000;0.003387594447963503;;[]
тереза;Ж;5000;6.204385435830592e-05;;[]
терезия;Ж;68;8.437964192729604e-07;;[]
томила;Ж;403;5.000734661279457e-06;;[]
улита;Ж;309;3.834310199343305e-06;;[]
ульяна;Ж;144000;0.0017868630055192104;;[]
урсула;Ж;880;1.091971836706184e-05;;[]
устина;Ж;1000;1.2408770871661182e-05;;[]
устиния;Ж;105;1.3029209415244242e-06;;[]
устинья;Ж;1000;1.2408770871661182e-05;;[]
фавста;Ж;22;2.72992959176546e-07;;[]
фавстина;Ж;18;2.233578756899013e-07;;[]
фаина;Ж;31000;0.0003846718970214967;;[]
феврония;Ж;261;3.238689197503569e-06;;[]
февронья;Ж;98;1.2160595454227958e-06;;[]
федора;Ж;2000;2.4817541743322365e-05;;[]
федосея;Ж;9;1.1167893784495065e-07;;[]
федосия;Ж;216;2.6802945082788157e-06;;[]
федосья;Ж;795;9.86497284297064e-06;;[]
федотия;Ж;23;2.854017300482072e-07;;[]
федотья;Ж;16;1.9854033394657893e-07;;[]
фекла;Ж;4000;4.963508348664473e-05;фёкла;[]
феклинья;Ж;3;3.722631261498355e-08;;[]
феликса;Ж;319;3.958397908059917e-06;;[]
фелисада;Ж;3;3.722631261498355e-08;;[]
фелисата;Ж;13;1.6131402133159538e-07;;[]
фелицата;Ж;938;1.1639427077618189e-05;;[]
фелициана;Ж;7;8.686139610162828e-08;;[]
фелиция;Ж;798;9.902199155585624e-06;;[]
феодора;Ж;708;8.785409777136117e-06;;[]
феодосия;Ж;95000;0.0011788332328078123;;[]
феодотия;Ж;21;2.605841883048848e-07;;[]
феодулия;Ж;18;2.233578756899013e-07;;[]
феоктиста;Ж;96;1.1912420036794737e-06;;[]
феона;Ж;204;2.5313892578188813e-06;;[]
феония;Ж;17;2.109491048182401e-07;;[]
феофана;Ж;23;2.854017300482072e-07;;[]
феофания;Ж;319;3.958397908059917e-06;;[]
феофила;Ж;45;5.583946892247532e-07;;[]
фетиния;Ж;19;2.3576664656156247e-07;;[]
фетинья;Ж;17;2.109491048182401e-07;;[]
фея;Ж;13000;0.00016131402133159537;;[]
филиппа;Ж;445;5.5219030378892265e-06;;[]
филиппина;Ж;70;8.686139610162828e-07;;[]
филиппия;Ж;6;7.44526252299671e-08;;[]
филомена;Ж;38;4.7153329312312494e-07;;[]
филонида;Ж;2;2.4817541743322366e-08;;[]
фиона;Ж;1000;1.2408770871661182e-05;;[]
фиония;Ж;5;6.204385435830592e-08;;[]
флавия;Ж;257;3.189054114016924e-06;;[]
флора;Ж;11000;0.00013649647958827301;;[]
флорентина;Ж;729;9.045993965441003e-06;;[]
флориана;Ж;108;1.3401472541394078e-06;;[]
флорида;Ж;4000000;0.049635083486644735;;[]
фотина;Ж;2000;2.4817541743322365e-05;;[]
фотиния;Ж;505;6.266429290188898e-06;;[]
фотинья;Ж;99;1.228468316294457e-06;;[]
хаврония;Ж;24;2.978105009198684e-07;;[]
